epoch,step,test/acc,test/acc.a,test/acc.airport,test/acc.b,test/acc.bus,test/acc.c,test/acc.metro,test/acc.metro_station,test/acc.park,test/acc.public_square,test/acc.real,test/acc.s1,test/acc.s2,test/acc.s3,test/acc.s4,test/acc.s5,test/acc.s6,test/acc.seen,test/acc.shopping_mall,test/acc.street_pedestrian,test/acc.street_traffic,test/acc.tram,test/acc.unseen,test/cnt.a,test/cnt.airport,test/cnt.b,test/cnt.bus,test/cnt.c,test/cnt.metro,test/cnt.metro_station,test/cnt.park,test/cnt.public_square,test/cnt.s1,test/cnt.s2,test/cnt.s3,test/cnt.s4,test/cnt.s5,test/cnt.s6,test/cnt.shopping_mall,test/cnt.street_pedestrian,test/cnt.street_traffic,test/cnt.tram,test/count.real,test/count.seen,test/count.unseen,test/lloss.real,test/lloss.seen,test/lloss.unseen,test/loss,test/loss.a,test/loss.airport,test/loss.b,test/loss.bus,test/loss.c,test/loss.metro,test/loss.metro_station,test/loss.park,test/loss.public_square,test/loss.s1,test/loss.s2,test/loss.s3,test/loss.s4,test/loss.s5,test/loss.s6,test/loss.shopping_mall,test/loss.street_pedestrian,test/loss.street_traffic,test/loss.tram,test/macro_avg_acc,val/acc,val/acc.a,val/acc.airport,val/acc.b,val/acc.bus,val/acc.c,val/acc.metro,val/acc.metro_station,val/acc.park,val/acc.public_square,val/acc.real,val/acc.s1,val/acc.s2,val/acc.s3,val/acc.s4,val/acc.s5,val/acc.s6,val/acc.seen,val/acc.shopping_mall,val/acc.street_pedestrian,val/acc.street_traffic,val/acc.tram,val/acc.unseen,val/cnt.a,val/cnt.airport,val/cnt.b,val/cnt.bus,val/cnt.c,val/cnt.metro,val/cnt.metro_station,val/cnt.park,val/cnt.public_square,val/cnt.s1,val/cnt.s2,val/cnt.s3,val/cnt.s4,val/cnt.s5,val/cnt.s6,val/cnt.shopping_mall,val/cnt.street_pedestrian,val/cnt.street_traffic,val/cnt.tram,val/count.real,val/count.seen,val/count.unseen,val/lloss.real,val/lloss.seen,val/lloss.unseen,val/loss,val/loss.a,val/loss.airport,val/loss.b,val/loss.bus,val/loss.c,val/loss.metro,val/loss.metro_station,val/loss.park,val/loss.public_square,val/loss.s1,val/loss.s2,val/loss.s3,val/loss.s4,val/loss.s5,val/loss.s6,val/loss.shopping_mall,val/loss.street_pedestrian,val/loss.street_traffic,val/loss.tram,val/macro_avg_acc
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,2.303868293762207,nan,nan,2.3038668632507324,2.303868293762207,2.303868293762207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,2.3039255142211914,nan,nan,2.303925037384033,2.3039255142211914,2.3039255142211914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,2.3039207458496094,nan,nan,2.3039236068725586,2.3039207458496094,2.3039207458496094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,2.303866386413574,nan,nan,2.3038649559020996,2.303866386413574,2.303866386413574,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,2.303791046142578,nan,nan,2.3037898540496826,2.303791046142578,2.303791046142578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,2.3037033081054688,nan,nan,2.3036985397338867,2.3037033081054688,2.3037033081054688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,2.3037655353546143,nan,nan,2.3037610054016113,2.3037655353546143,2.3037655353546143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,2.3037774562835693,nan,nan,2.303781509399414,2.3037774562835693,2.3037774562835693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,2.3036816120147705,nan,nan,2.3036818504333496,2.3036816120147705,2.3036816120147705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,2.303284168243408,nan,nan,2.303285598754883,2.303284168243408,2.303284168243408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
